review,rating,date,bank,source
is it an a certain amount of times you can use the lock and unlock option? everything else work but not that feature. I would give it a 5 but until that is fix then im leaving it at 3. I used it because no matter how many new cards I get someone is always hacked my card and im tired of getting a new debit card. there's no update needed so not sure why it just stop working.,3,2025-05-24,Chase,Google Play Store
thk u,5,2025-05-23,Chase,Google Play Store
Good!,5,2025-05-23,Chase,Google Play Store
Inflexible and poor customer service. I find Citibank much more customer focused.,2,2025-05-23,Chase,Google Play Store
can't use my card,1,2025-05-23,Chase,Google Play Store
"Easy, but I like going into bank to get help",5,2025-05-23,Chase,Google Play Store
The app works when it wants to. It will say that it does not find my username.,2,2025-05-23,Chase,Google Play Store
I never have any problems..,5,2025-05-23,Chase,Google Play Store
easy money,5,2025-05-23,Chase,Google Play Store
"They got rid of the withdrawals being in red and the deposits being in blue. I have loved that feature of Chase banking online for years and now it's gone. Other than that, no complaints...",3,2025-05-23,Chase,Google Play Store
works well as long as I've used it,5,2025-05-23,Chase,Google Play Store
Great but I would have liked to get it sooner.,4,2025-05-23,Chase,Google Play Store
The app works well for me on the go. Can use as well as the website on PC.,5,2025-05-23,Chase,Google Play Store
"The application shows promise, however, enhancements to user-friendliness are recommended, specifically addressing page redundancy. Dark mode implementation is also desired.",4,2025-05-23,Chase,Google Play Store
The Chase app makes it simple and convenient to take care of all my banking needs.,5,2025-05-23,Chase,Google Play Store
convenient card access by cell phone and vigilant fraud prevention.,5,2025-05-23,Chase,Google Play Store
great app super fácil de usar,5,2025-05-23,Chase,Google Play Store
Simple to understand.,4,2025-05-23,Chase,Google Play Store
Ads while looking at my past purchases? Are you kidding? I'm dropping this bank.,1,2025-05-23,Chase,Google Play Store
wants too much info.,1,2025-05-23,Chase,Google Play Store
The site is very user-friendly and easy to navigate. I'm a new client about 8 months so I'm still in my honeymoon phase.,5,2025-05-23,Chase,Google Play Store
"this bank is so corrupt.& greedy btw. if your account is hacked, they will not reimburse. Don't fall for their credit cards! triple interest have a year!! beware !!!",1,2025-05-22,Chase,Google Play Store
Great hospitality and expedient problem solving.,5,2025-05-22,Chase,Google Play Store
Banking on the go. Who could ask for more.,5,2025-05-22,Chase,Google Play Store
AWSOME,5,2025-05-22,Chase,Google Play Store
"if my family members loses her phone or breaks the phone, they could always use the chase mobile app",5,2025-05-22,Chase,Google Play Store
"Never get there credit card, they will reduce your limit without informing you, destroy your credit no matter payment history is 100%, Discover is Best.",1,2025-05-22,Chase,Google Play Store
so far I've had a good experience,5,2025-05-22,Chase,Google Play Store
I love chase best bank ever!!!,5,2025-05-22,Chase,Google Play Store
I don't want any of my information out there,1,2025-05-22,Chase,Google Play Store
"it's very , super slow when trying to zelle.",2,2025-05-22,Chase,Google Play Store
card issue was sorted quickly,5,2025-05-22,Chase,Google Play Store
the app doesn't allow you to open unless you continuously update it. I don't have time to keep updating my phone space so I can access my money.,1,2025-05-22,Chase,Google Play Store
too much bs,1,2025-05-22,Chase,Google Play Store
excellent service,5,2025-05-22,Chase,Google Play Store
doesn't work on ule fone,1,2025-05-22,Chase,Google Play Store
makes everything convenient and easier.,5,2025-05-22,Chase,Google Play Store
Love all the benefits and rewards.,5,2025-05-22,Chase,Google Play Store
love chace,5,2025-05-22,Chase,Google Play Store
Jp Morgan is a great banking institution. Thank you.,5,2025-05-22,Chase,Google Play Store
still lots of bugs. limited features in investing part of the app,2,2025-05-22,Chase,Google Play Store
does not open on Android 14,1,2025-05-21,Chase,Google Play Store
"I'm NEW with Chase and unlike my other two card apps that you can easily make a payment, with this App when you hit card payment it goes to make a payment on other cards. I like paying off my balance before the payment due date, and it seems that this App or Chase doesn't want it's customers to do that 😡 Fix your App.",2,2025-05-21,Chase,Google Play Store
"Easy procedure, everything with this account is easy to do business with",5,2025-05-21,Chase,Google Play Store
This is maybe the most useful app I have on my Galaxy a51!!! Can't do without this app!!!!..Also love the Snapshot Questions!!,5,2025-05-21,Chase,Google Play Store
User friendly and great options!,5,2025-05-21,Chase,Google Play Store
Best,5,2025-05-21,Chase,Google Play Store
"Since latest update, constantly getting red banner that says ""you are not connected to a network"" even though I am and can log in and the app works fine otherwise.",3,2025-05-21,Chase,Google Play Store
I feel safe using it at all times,5,2025-05-21,Chase,Google Play Store
app is easy to use,5,2025-05-21,Chase,Google Play Store
zelle keeps shutting the app down,3,2025-05-21,Chase,Google Play Store
super easy to use and very helpful,5,2025-05-21,Chase,Google Play Store
"best banking app experience so far. While a lot of banking apps are similar these days, chase allows for a lot more benefits and long term credit goals than most. Never stop CHASING the bag!",5,2025-05-21,Chase,Google Play Store
Very clean and helpful. The only complaint I have is there are a LOT of features that I'm just never going to use. Not gonna knock the score for it because the most important stuff is front and center. It's a bank app; and thankfully it does that well.,5,2025-05-21,Chase,Google Play Store
"I love it, it's very easy to understan the transaction. :)",5,2025-05-21,Chase,Google Play Store
Great app,5,2025-05-21,Chase,Google Play Store
Annoying in your face banners. Chill out Chase!,1,2025-05-21,Chase,Google Play Store
this app is awesome! it was easy to replace my damaged card..and saves alot of time depositing my checks.,5,2025-05-21,Chase,Google Play Store
"Almost every time I try and use the app, it won't let me sign in. Even after I enter my password, have them call me with a code, and then have a picture of my driver's license scanned, it will never confirm I am me. I get the message for me to try again later, only for it to do the same routine. It only let me in when I first started using the app. The app would not let me update any information the few times it granted me access. Not worth the aggravation to use.",1,2025-05-21,Chase,Google Play Store
fingerprint scanner is not working.,1,2025-05-21,Chase,Google Play Store
Very simple but good..,4,2025-06-07,Bank of America,Google Play Store
"Great security, feel fully protected and Safe from Fraudulent activities.",5,2025-06-07,Bank of America,Google Play Store
The App allows you to transfer funds through Zelle. I Love this App. it's always easy to use and maneuver. Awesome. Thanks,5,2025-06-07,Bank of America,Google Play Store
since yesterday I haven't been able to to use to the app,1,2025-06-07,Bank of America,Google Play Store
keeps me informed,4,2025-06-07,Bank of America,Google Play Store
"Not very good with online usage as old, 72. But only had to be shown once how to use it with just a few glitches!",4,2025-06-07,Bank of America,Google Play Store
good bank service thanks,5,2025-06-07,Bank of America,Google Play Store
easy ui. does what it should.,5,2025-06-07,Bank of America,Google Play Store
"I've been a BofA customer for over 25 years, long before there was an app. I appreciate how BofA alerts for scams and unusual activity. Their security team phone support will help you navigate ongoing problems. The app is useful in allowing you to cover overdrafts through various ways. The customer service is very helpful, always. I don't think I have ever spoken with a customer service person that didn't go above and beyond in helping. The in-person banking is always great.",5,2025-06-07,Bank of America,Google Play Store
very cool 👍🏽,4,2025-06-07,Bank of America,Google Play Store
work great well laid out,5,2025-06-07,Bank of America,Google Play Store
yes at is a great app,5,2025-06-07,Bank of America,Google Play Store
good,5,2025-06-07,Bank of America,Google Play Store
I've had excellent experience with this bank account. I'd give you 10 stars if I could. Very very good job. Thank you,5,2025-06-07,Bank of America,Google Play Store
Very easy to maneuver through all the options. Easily keep up to date on your finances.,5,2025-06-07,Bank of America,Google Play Store
Excellent features.,5,2025-06-07,Bank of America,Google Play Store
easy to use,5,2025-06-07,Bank of America,Google Play Store
the only bank I have used since 1995 because it is the best.,5,2025-06-07,Bank of America,Google Play Store
Very good app and the AI is very good,5,2025-06-07,Bank of America,Google Play Store
"I asked for an ATM near a specific zip code, and sent me to nowhere screen",1,2025-06-07,Bank of America,Google Play Store
no longer get notifications for credit card payments due! 🤔 they want me to pay late fees?,1,2025-06-07,Bank of America,Google Play Store
great app. very convenient,5,2025-06-07,Bank of America,Google Play Store
I like Bank of America,5,2025-06-07,Bank of America,Google Play Store
lost the password but you have to know the kast 6 digits of your account. they only send the last 4 via email. you'll have to wait an hour to get in co text with anyone. should update for those of us who are paperless,2,2025-06-07,Bank of America,Google Play Store
Excellent app!,5,2025-06-07,Bank of America,Google Play Store
works Great 👍,5,2025-06-07,Bank of America,Google Play Store
excellent work,5,2025-06-07,Bank of America,Google Play Store
everything is very fast and good 👍,5,2025-06-07,Bank of America,Google Play Store
excellent customer service 👏,4,2025-06-07,Bank of America,Google Play Store
"The BOA app is nothing short of outstanding! It is quite user-friendly & well laid out. I use it every single day & it ""always"" delivers. The balance check feature is way cool without having to log on & it is so easy to use Zelle or transfer money between accounts. Bravo Zulu to the developer(s) for a job extremely well done! 😃",5,2025-06-07,Bank of America,Google Play Store
Love My banking experience. I've been a member over 10 yrs😀,5,2025-06-07,Bank of America,Google Play Store
the app is easier to navigate than some other banking apps and I especially like the mobile check deposit,4,2025-06-07,Bank of America,Google Play Store
"efficient, prompt, easy to navigate",5,2025-06-07,Bank of America,Google Play Store
👍 great,5,2025-06-07,Bank of America,Google Play Store
I have very long time using it,5,2025-06-07,Bank of America,Google Play Store
"I do all my banking from the app. I do not live near Bank of America, so the app makes banking so much easier. I haven't ever experienced any issues while using the app. When I do need help, the messaging option, Erica, helps and is fast, a lot faster than calling customer service, which can take 30 minutes or longer. I hate voice operators.",5,2025-06-07,Bank of America,Google Play Store
User friendly,5,2025-06-07,Bank of America,Google Play Store
easy to control the account,5,2025-06-07,Bank of America,Google Play Store
very user-friendly,5,2025-06-07,Bank of America,Google Play Store
great communication when needed,5,2025-06-07,Bank of America,Google Play Store
velly 👍,4,2025-06-06,Bank of America,Google Play Store
good app,5,2025-06-06,Bank of America,Google Play Store
Great 👍 👌 thank,5,2025-06-06,Bank of America,Google Play Store
banks sucks go to key,1,2025-06-06,Bank of America,Google Play Store
"I took a picture 6 times of a check to deposit. It wouldn't accept Says all info on bottom not showing, but it was!",1,2025-06-06,Bank of America,Google Play Store
Great 👍 thank you,5,2025-06-06,Bank of America,Google Play Store
Great app,5,2025-06-06,Bank of America,Google Play Store
Very reliable and efficient,5,2025-06-06,Bank of America,Google Play Store
it's best experience,4,2025-06-06,Bank of America,Google Play Store
"I like how easy it is to find what I'm looking for & if I have questions ,there's someone there to help ,thanks",5,2025-06-06,Bank of America,Google Play Store
I love this app. I never have any problems with it.,5,2025-06-06,Bank of America,Google Play Store
The new look overall is nice.,4,2025-06-06,Bank of America,Google Play Store
"Great App...Faster, Dependable, You can trust...",5,2025-06-06,Bank of America,Google Play Store
App works very well. ( A bit confusing about wire transfers.),4,2025-06-06,Bank of America,Google Play Store
always good,5,2025-06-06,Bank of America,Google Play Store
"Sure, it's helpful to do the banking things that are expected, like view transactions and balances, but it doesn't allow some things that can only be done from a browser, doesn't offer to log in on mobile browser for those things, and doesn't even tell you to go to a browser for them, like the mobile app pretends BofA just doesn't do whatever it is that your trying to do.",2,2025-06-06,Bank of America,Google Play Store
Easy and Reliable,5,2025-06-06,Bank of America,Google Play Store
Easy to use and understand.,5,2025-06-06,Bank of America,Google Play Store
excellent,5,2025-06-06,Bank of America,Google Play Store
"best alert system amongst all the banks I have been associated with. Overall, although there are others with high rankings in certain areas, BOA is the overall favorite.",5,2025-06-06,Bank of America,Google Play Store
Live the app...well done!,5,2025-06-06,Bank of America,Google Play Store
Great app! Easy to navigate. Easy execution.,5,2025-06-06,Bank of America,Google Play Store
not always up to date. otherwise decent app.,4,2025-06-06,Bank of America,Google Play Store
"Really like this group, huge improvement from my previous one, thank you!!",5,2025-06-06,Bank of America,Google Play Store
Good banking service 🤗👍,5,2025-06-06,Bank of America,Google Play Store
Easy to use.,5,2025-06-06,Bank of America,Google Play Store
why is the latest version suddenly incompatible with my phone!? I'm not going to buy a new phone because you can't develop your app to be compatible.,1,2025-06-06,Bank of America,Google Play Store
User friendly! Thank you!,5,2025-06-06,Bank of America,Google Play Store
wonderful,5,2025-06-06,Bank of America,Google Play Store
efficient,5,2025-06-06,Bank of America,Google Play Store
easy to maneuver. always dependable.,5,2025-06-06,Bank of America,Google Play Store
I trust Bank of America,5,2025-06-06,Bank of America,Google Play Store
"Easy to use, does what I require without any problems. Happy with it.",5,2025-06-06,Bank of America,Google Play Store
Very 👍,5,2025-06-06,Bank of America,Google Play Store
very good,5,2025-06-06,Bank of America,Google Play Store
Exceptional service. Keeps my account fraud-free. Recommendation worthy,5,2025-06-06,Bank of America,Google Play Store
very convenient,5,2025-06-06,Bank of America,Google Play Store
I HATE CALLING UP. ANY DEPARTMENT OF BOA. ALL YOU DO IS WAIT WAIT WAIT WAIT. UNTIL THE COWS COME HOME. TRIPLE THE AMOUNT OF WORKERS TO ANSWER ALL DEPARTMENTS. BEFORE I TAKE. $60000. AWAY FROM BOA. THIS IS NOT A THREAT. WHEN I SAY SOMETHING. I MEAN IT. DOES BOA. WANT TO LOOSE $60000,1,2025-06-06,Bank of America,Google Play Store
"paying bills has become a pain, when I click on pay bills I shouldn't have another 3 clicks to get there.",1,2025-06-06,Bank of America,Google Play Store
"This sucks , that Bank of America mobile app is not compatible with my phone !",5,2025-06-06,Bank of America,Google Play Store
Easy to navigate!,5,2025-06-06,Bank of America,Google Play Store
God so Far,4,2025-06-06,Bank of America,Google Play Store
never had a problem making deposits,5,2025-06-06,Bank of America,Google Play Store
Bank of America is a bank that lives in the 21st century. They are always updating their system and I love being there customer.,5,2025-06-06,Bank of America,Google Play Store
I've always had a great experience with Bank of America weather in depositing checks or transferring money are you zelling somebody a payment! And their app helps me stay on top of everything 10 out of 10 highly recommended,5,2025-06-06,Bank of America,Google Play Store
App is easy to use and lets me do nearly all my banking online.,5,2025-06-06,Bank of America,Google Play Store
The App works well for me. 👍,5,2025-06-06,Bank of America,Google Play Store
Can't log into Bank of America mobile. App not compatible with phone.,1,2025-06-06,Bank of America,Google Play Store
I am very satisfied with this app,5,2025-06-06,Bank of America,Google Play Store
easy to use information at your fingertips,5,2025-06-06,Bank of America,Google Play Store
"I have been with Bank of America since I was 52yrs, I'm 76years old and never had any problems at all. It's a trustworthy Bank. Nothing to report, Love my bank. Sincerely Xiques.",5,2025-06-06,Bank of America,Google Play Store
very good very easy to work with always updated anytime you need help you get help great app Bank of America is the best,5,2025-06-06,Bank of America,Google Play Store
able to keep up with my account and make payments. easy!,5,2025-06-06,Bank of America,Google Play Store
love the app...,5,2025-06-06,Bank of America,Google Play Store
I like the app. It is easy to use.,5,2025-06-06,Bank of America,Google Play Store
The best in online banking!,5,2025-06-06,Bank of America,Google Play Store
great service,5,2025-06-06,Bank of America,Google Play Store
absolutely horrible app continuously denies me access into my business account every time I try to log in it tells me I'm logging out. absolutely frustrating and dysfunctional,1,2025-06-06,Bank of America,Google Play Store
always works without a problem,5,2025-06-06,Bank of America,Google Play Store
I like my how l can handle my account with this app. Thank you,5,2025-06-06,Bank of America,Google Play Store
makes banking so easy,5,2025-06-06,Bank of America,Google Play Store
I love having quick access to my account.,5,2025-06-06,Bank of America,Google Play Store
I like the ease of maneuverability like the reoccurring charges appearing in total charges for the year,4,2025-06-06,Bank of America,Google Play Store
wonderful.,4,2025-06-06,Bank of America,Google Play Store
right on time,5,2025-06-06,Bank of America,Google Play Store
I like it so far✌️,4,2025-06-06,Bank of America,Google Play Store
Great APP,5,2025-06-06,Bank of America,Google Play Store
the best bank I every had they take care of there customers,5,2025-06-06,Bank of America,Google Play Store
Excellent,5,2025-06-06,Bank of America,Google Play Store
"Feels Safe Financially, best Bank I've ever been involved with!",5,2025-06-06,Bank of America,Google Play Store
Its a hassle to use the app on a secondary device.,3,2025-06-06,Bank of America,Google Play Store
"Is there any way to go back to the previous version?. I absolutely hate the way you pay bills now. I had a certain way to pay bills, and it has worked perfectly for years. I could easily see what bills I had scheduled and what needed paid. I am missing payments, and I am never late on my bills. Makes me furious.If this is going to be the new confusing, click 5 things to get to something that only took one click. I will have to find a better pay somewhere new.",1,2025-06-06,Bank of America,Google Play Store
Very easy to use.,5,2025-06-06,Bank of America,Google Play Store
can't pay the credit card. it says to click BILL PAY but it's going to an error. very old software to handle the bank. I only use this bank for the welcome bonus that's it :),1,2025-06-06,Bank of America,Google Play Store
Great App,5,2025-06-06,Bank of America,Google Play Store
Very good service.,5,2025-06-06,Bank of America,Google Play Store
Wish you would quit changing it!!!! It's confusing and hard to navigate. why is my BOA credit card payment separate from my other bills ? A lot of payments go to places I'VE NEVER HEARD OF. IF THEY R Chinese then they should name the outfit I purchased from. It was a lot better to navigate years ago.,2,2025-06-06,Bank of America,Google Play Store
Horrible bank- hold on my account balance for 6 months. NO EXPLANATION ...only stupidity. I recommend you NOT bank with BofA. Hello FDIC please help rectify and audit this bank again!,1,2025-06-06,Bank of America,Google Play Store
I like the app alot it helps so much .,4,2025-06-06,Bank of America,Google Play Store
I like that I can log on or off in my account and able to keep track of my savings!,5,2025-06-06,Bank of America,Google Play Store
"Don't have problem, so I like it",5,2025-06-06,Bank of America,Google Play Store
The functions are always ready to use when I need them. Excellent service and easy to use. Thank you,5,2025-06-06,Bank of America,Google Play Store
good.,5,2025-06-06,Bank of America,Google Play Store
This application will no longer open. All my other apps banking and financial open without any problems. It say no network or internet connection which is not true everything else on the phone works.,1,2025-06-06,Bank of America,Google Play Store
Live chat still felt like an AI bot. It was not helpful and made things frustrating.,1,2025-06-06,Bank of America,Google Play Store
Great!,5,2025-06-06,Bank of America,Google Play Store
ultimate banking app,5,2025-06-06,Bank of America,Google Play Store
"Bank of America is the best bank app i ever used,all the service,custumers are great i high recomend it!!",5,2025-06-06,Bank of America,Google Play Store
great,5,2025-06-06,Bank of America,Google Play Store
It's been a great experience I love how it works and thanks,5,2025-06-06,Bank of America,Google Play Store
I hate apps that don't let you see the password you're trying to type in. I finally got in without having to change my password!,2,2025-06-06,Bank of America,Google Play Store
very efficient.,5,2025-06-06,Bank of America,Google Play Store
not the best.,2,2025-06-06,Bank of America,Google Play Store
excellent answers all the questions,5,2025-06-06,Bank of America,Google Play Store
I like how the log in lights up only when the correct password has been entered. This reduces chances of lockout without reducing security.,5,2025-06-06,Bank of America,Google Play Store
am able to access my acct info quickly!,5,2025-06-06,Bank of America,Google Play Store
worked fine till it required update and is now incompatible withmy phone,1,2025-06-06,Bank of America,Google Play Store
Good service at all times,5,2025-06-06,Bank of America,Google Play Store
WOW!! Been with these folks since 1985 and still love this App!!,5,2025-06-06,Bank of America,Google Play Store
nearly a whole day waiting to get help. countless hours from 11:30 pm to 3:45 pm. augh...,2,2025-06-05,Bank of America,Google Play Store
Maria Narajo Castro was great. I was very impressed with her. I will always want her to assist me.,5,2025-06-05,Bank of America,Google Play Store
"Works really well and depenable. Really like BOA. 30years strong! BOA, for me.🙏",5,2025-06-05,Bank of America,Google Play Store
exceptional,5,2025-06-05,Bank of America,Google Play Store
easy to use..,5,2025-06-05,Bank of America,Google Play Store
very bad experience with the bank and app,1,2025-06-05,Bank of America,Google Play Store
is the best,5,2025-06-05,Bank of America,Google Play Store
been ok,3,2025-06-05,Bank of America,Google Play Store
smooth,5,2025-06-05,Bank of America,Google Play Store
extremely good,5,2025-06-05,Bank of America,Google Play Store
i like this app,5,2025-06-05,Bank of America,Google Play Store
Difficult to navigate,2,2025-06-05,Bank of America,Google Play Store
june2025-zelle still crashes Feb 2025- same problem how embarrassing. BofA? 4/4/24- Still crashes using zelle. March 28 2024- developers STILL haven't fixed this same issue. 👇🏽 June 2023 and they still haven't fixed the issue with zelle. Crashes I have to keep closing a window telling me of an error and if I want to wait or close the app. So annoying when trying to send money. I have already sent email to bofa development.Please fix it so it doesn't crash when using zelle. Using android note20,1,2025-06-05,Bank of America,Google Play Store
Apparently people's needs do not matter even after a substantial deposit. They hold your money way too long for verification when instant verification is available these days.,1,2025-06-05,Bank of America,Google Play Store
the best,5,2025-06-05,Bank of America,Google Play Store
good job thanks,5,2025-06-05,Bank of America,Google Play Store
help keep tracks on what I'm spending,5,2025-06-05,Bank of America,Google Play Store
The app doe's everything you need to do,5,2025-06-05,Bank of America,Google Play Store
great works just like it should makes life a little easier,5,2025-06-05,Bank of America,Google Play Store
Very good.,5,2025-06-05,Bank of America,Google Play Store
Easy to maneuver and make payments or transfers.,5,2025-06-05,Bank of America,Google Play Store
can't find how to activate a credit card,1,2025-06-05,Bank of America,Google Play Store
thank u all.much love and appreciation,5,2025-06-05,Bank of America,Google Play Store
I like it,5,2025-06-05,Bank of America,Google Play Store
easy to use to get updated information on my accounts,5,2025-06-05,Bank of America,Google Play Store
trouble logging in,2,2025-06-05,Bank of America,Google Play Store
Have to admit its a pretty darn good app! Easy to follow and use! The more I use it the more I like it.,5,2025-06-05,Bank of America,Google Play Store
5 star easy to elaborate,5,2025-06-05,Bank of America,Google Play Store
Great app to use to get anything you want. It's a little buggy.,5,2025-06-05,Bank of America,Google Play Store
easy and fast to deposit checks,5,2025-06-05,Bank of America,Google Play Store
Easy to navigate,5,2025-06-05,Bank of America,Google Play Store
they phased out my device,2,2025-06-05,Bank of America,Google Play Store
excellent. everything I need works well,5,2025-06-05,Bank of America,Google Play Store
Simply amazing!,5,2025-06-05,Bank of America,Google Play Store
good so far. very pleased.,4,2025-06-05,Bank of America,Google Play Store
"they place adds between linked accounts. at this point, I can't use the link because it's just 3 revolving ads. I'm on hold for 30 minutes + and no help. Ridiculous waste of time. the worst banking app ever.",1,2025-06-05,Bank of America,Google Play Store
"Very satisfying, beats going to the bank",5,2025-06-05,Bank of America,Google Play Store
it's great,5,2025-06-05,Bank of America,Google Play Store
extremely convenient,5,2025-06-05,Bank of America,Google Play Store
exceptional!,5,2025-06-05,Bank of America,Google Play Store
can't update app,1,2025-06-05,Bank of America,Google Play Store
simple and effective,5,2025-06-05,Bank of America,Google Play Store
I've never had any problems. Very efficient.,5,2025-06-05,Bank of America,Google Play Store
Easy to use,5,2025-06-05,Bank of America,Google Play Store
best,5,2025-06-05,Bank of America,Google Play Store
my bank of America is the best,5,2025-06-05,Bank of America,Google Play Store
works as described,4,2025-06-05,Bank of America,Google Play Store
👍👍👍👍👍👍👍👏👍👍👏👍👏👍👏👍👏👍👍👍👍👍👍💯👍💯👍💯👍💯👍👍💯💯👍💯👍👍,5,2025-06-05,Bank of America,Google Play Store
helpfully,5,2025-06-05,Bank of America,Google Play Store
app will no longer works on my phone,1,2025-06-05,Bank of America,Google Play Store
BOA online banking is convenient and easy to use. Online alerts are extra security. They see habits of our banking and if it appear s to be questionable or a scam they will reach out to you before its approve. Just had this happen to me in the middle of the night and they caught it. Thank you BOA!,5,2025-06-05,Bank of America,Google Play Store
great experience,5,2025-06-05,Bank of America,Google Play Store
Good feeling.,5,2025-06-05,Bank of America,Google Play Store
Bank of America has been a great bank they have always kept my banking info up to date an any issues or needing help to change or fix or add an account the staff an loan officers have gone out of they way to help an improve our banking experience they been nice had a smile an a pleasant attitude towards me an the other customers went beyond the call of duty when needed,5,2025-06-05,Bank of America,Google Play Store
Pretty good app. Has a nice little spending tracker and stats to manage budgets and patterns.,5,2025-06-05,Bank of America,Google Play Store
Easy to use. Better understanding of my accounts.,5,2025-06-05,Bank of America,Google Play Store
easy and quick hassle free and safe,5,2025-06-05,Bank of America,Google Play Store
Horrible app. Changed my user name without my knowledge. Have terrible time logging in and have to keep changing password . wants checking account to change it. I don't have Bank of America accounts Just pay other credit card through them so if it continues will get rid of it,1,2025-06-05,Bank of America,Google Play Store
any.place bank offamerica in farmington missourri,5,2025-06-05,Bank of America,Google Play Store
awesome 👌,5,2025-06-05,Bank of America,Google Play Store
quick and easy,5,2025-06-05,Bank of America,Google Play Store
Very good. Super service. excellent people. thanks BofA.,5,2025-06-05,Bank of America,Google Play Store
all of my problem's are handled fast and courteous from everyone I spoke with. Thank you for caring and helping me!,5,2025-06-05,Bank of America,Google Play Store
Very good flow from one page to the next.,4,2025-06-05,Bank of America,Google Play Store
annoying. search feature sucks,2,2025-06-05,Bank of America,Google Play Store
I am very pleased with BOA's mobile app!,5,2025-06-05,Bank of America,Google Play Store
Always good!,5,2025-06-05,Bank of America,Google Play Store
Easy to use with a lot of information available.,5,2025-06-05,Bank of America,Google Play Store
It's two years later and your app is still inferior.,3,2025-06-05,Bank of America,Google Play Store
Good,5,2025-06-05,Bank of America,Google Play Store
"easy to use,all my accounts including my money market and my annuity in one place and it tracks my FICO score also.I use it to receive or send funds to friends and family.",5,2025-06-05,Bank of America,Google Play Store
Great UI and experience. Solid and very useful. Handles all my banking and credit card needs from the mobile app. Love Zelle transactions. Also helpful when searching for an ATM. 5 stars!!,5,2025-06-05,Bank of America,Google Play Store
very informative!!!,5,2025-06-05,Bank of America,Google Play Store
good....,5,2025-06-05,Bank of America,Google Play Store
"Love It! It's easy to use, great for keeping track of expenses and making bill payments. Haven't been able to set up visa check out, that part keeps crashing, but aside from that, this app is great!",5,2025-06-05,Bank of America,Google Play Store
I never was able to update the new app.,3,2025-06-05,Bank of America,Google Play Store
"fast, easy to use and very directive",5,2025-06-05,Bank of America,Google Play Store
very secure and userfriendly,5,2025-06-05,Bank of America,Google Play Store
"Definitely better than most apps of this type -- Bravo, BoA!",5,2025-06-05,Bank of America,Google Play Store
Great Service,5,2025-06-05,Bank of America,Google Play Store
It doesn't have any theme to change your settings for this app. I wish it could have created a way to have us choose a picture that we like on this app.,3,2025-06-05,Bank of America,Google Play Store
easy!,5,2025-06-05,Bank of America,Google Play Store
very easy to use,5,2025-06-05,Bank of America,Google Play Store
easily accessible & convenient,5,2025-06-05,Bank of America,Google Play Store
great experience smoothe,5,2025-06-05,Bank of America,Google Play Store
easy to navigate.,5,2025-06-05,Bank of America,Google Play Store
love my Alaska Airlines/BofA credit card,5,2025-06-05,Bank of America,Google Play Store
great 👍,4,2025-06-05,Bank of America,Google Play Store
I love bofa best bank experience one could have.,5,2025-06-05,Bank of America,Google Play Store
super good,5,2025-06-05,Bank of America,Google Play Store
very helpful,5,2025-06-05,Bank of America,Google Play Store
it seems that Bank of America is really letting lay down even though I don't have a lot of money I've been banking with you for as long as I can remember over 40 years in the past couple months I've had some problems with check deposits in personal and business,1,2025-06-04,Bank of America,Google Play Store
Their app works extremely well it tells you right away what you are doing with your money right away you do not have to wait and send you alerts on your email if you want them to Great security features and if you have a problem you just call them and they answer the phone !,5,2025-06-04,Bank of America,Google Play Store
My payment to *********** should have been payed on the 3rd of the month as usual. This month it won't be paid with Zelle until the 5 This month!!,3,2025-06-04,Bank of America,Google Play Store
oh great suddenly the app isn't compatible with my device anyone. this phone isn't THAT old and I should need the latest camera to deposit a check!,1,2025-06-04,Bank of America,Google Play Store
automatic service over the phone and over the app are horrible. It's so hard to find a real person to help you with anything,1,2025-06-04,Bank of America,Google Play Store
"Very secure, 34 and 5 point verifications. it's probably a little Overkill, but I've had my card stolen probably five times. and those boys are slick. they can take a screenshot, of the application for credit, and lay it right on top of the original application, digitally. and then they're kind of cute, and I asked you to use a different card. I went ahead and filled in the information on the existing card, and the screen swiped. they had my number. they are pretty smart. Digital Crooks.",5,2025-06-04,Bank of America,Google Play Store
👍 Great,5,2025-06-04,Bank of America,Google Play Store
Bad,1,2025-06-04,Bank of America,Google Play Store
"its a fantastic an application to reach your demand, I'm very much glad to have an account with this great organisation in a great 🇺🇸 USA , Dr. Tariq Abbas El subaie Lawyer &Legal consultant PHD Hollder In Law",5,2025-06-04,Bank of America,Google Play Store
I appreciate being able to use my BOA bank app for keeping track of my bank account and bills paid through to his app!! thank you. ribbit 🐸,5,2025-06-04,Bank of America,Google Play Store
well done,5,2025-06-04,Bank of America,Google Play Store
Very good......,5,2025-06-04,Bank of America,Google Play Store
"I would rather have a physical debit card, but the virtual card is convenient at times. One issue I have with it is that every time you look up the card number, expiration date, security code it gives you a new security code. I don't like that, and I don't like carry screenshots of the card info on my phone, so I have to write them down somewhere that I hope I remember when I need to see the info, and it has to be something and someplace that doesn't look like important info would be there.",4,2025-06-04,Bank of America,Google Play Store
Very convenient.,5,2025-06-04,Bank of America,Google Play Store
"this app is bogus. it doesn't let uninstall it, then the screen doesn't changes or move forward to any options",1,2025-06-04,Bank of America,Google Play Store
the new app is not comparable with my device. I cant afford to get a new device. so what now?,1,2025-06-04,Bank of America,Google Play Store
Easy to use!,5,2025-06-04,Bank of America,Google Play Store
makes life easy,5,2025-06-04,Bank of America,Google Play Store
